Entidad;Erakundea;Calle;Código Postal;Población;Geo;Revisión;Teléfono;Web;Otros
Departamento de Medio Ambiente, Planificación Territorial y Vivienda;Ingurumen, Lurralde Plangintza eta Etxebizitza Saila;Donostia-San Sebastián, 1 - LAKUA;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-11-28 11:26:21 UTC;"";""
Viceconsejería de Cultura, Juventud y Deportes;Kultura, Gazteria eta Kirol Sailburuordetza;Donostia-San Sebastián, 1;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-11-30 11:11:46 UTC;"";""
OTRI/Deiker University Knowledge Transfer Office-Universidad de Deusto;; Avda. de las Universidades, 24;48007;Bilbao;43.2704909194495, -2.93750940312071;2014-02-11 19:34:34 UTC;944139113;http://www.research.deusto.es
Euskaltzaindia - Delegación de Navarra;Euskaltzaindia - Nafarroako ordezkaria;Conde Oliveto, 2 - 2º ;31002;Pamplona;42.813422, -1.6391437;2014-02-12 17:42:52 UTC;948223471;http://www.euskaltzaindia.net
Comisión Interdepartamental de Acción Exterior;Kanpo Harremanetarako Sailarteko Batzordea;"";"";;, ;2014-12-10 09:16:31 UTC;"";"";funciones: http://www.jusap.ejgv.euskadi.net/r47-bopvvaci/es/bopv2/datos/2007/09/0705145a.pdf
Comisión Consultiva de Emakunde - Instituto Vasco de la Mujer;Emakunde-Emakumearen Euskal Erakundeko Aholku Batzordea;"";"";;, ;2014-12-10 09:47:19 UTC;"";http://www.emakunde.euskadi.net/u72-20010/es/contenidos/informacion/org_adscritos/es_def/index.shtml#A05;funciones: http://www.jusap.ejgv.euskadi.net/r47-bopvvaci/es/bopv2/datos/1998/06/9802906a.pdf
EOI  Vitoria - Escuela Oficial de Idiomas de Vitoria-Gasteiz;HEO Gastseiz - Gasteizko Hizkuntza Eskola;Portal de Lasarte, 21;01007;Vitoria-Gasteiz;42.8362232723483, -2.684839079079;2015-07-23 07:18:32 UTC;945139046/ 945138760;http://www.eoivitoria-gasteiz.com;fax: 945144945
Basque Museum & Cultural Center, Inc.;;611, Grove Street;83702;Boise;43.6137093, -116.2020291;2011-11-22 10:30:44 UTC;2083432671;http://www.basquemuseum.com
Battle Mountain Oberenak Club;;P.O. Box 1595;89820;Battle Mountain;40.6421334, -116.9342671;2011-11-22 11:44:43 UTC;7756352878;""
Casa Vasca Euskal Etxea Inc. de Santo Domingo;;Rep. del Paraguay, 182 - Ens. La Fé;2192;Santo Domingo;18.4893976, -69.9125753;2011-11-22 12:44:07 UTC;8095655474;""
Centro Basko Azuleño;;Hipólito Yrigoyen, 926;7300;Azul;, ;2011-11-23 08:59:25 UTC;02281435489;"";fax: 02281435489
Centro Vasco Anaitasuna;;Ramos Mejía, 231;7160;Maipú;-34.6443867, -58.574196;2011-11-30 09:54:25 UTC;2268421682;""
LANBIDE - Servicios Centrales;LANBIDE;Jose Achotegui, 1;01009;Vitoria-Gasteiz;42.8544949667816, -2.68748987974067;2016-02-09 14:24:42 UTC;945181300;http://www.lanbide.euskadi.eus;fax: 945062341
LANBIDE - Bilbao Miribilla;;Saralegi, 3-4;48003;Bilbao;43.2532372823389, -2.92494999364513;2016-02-10 08:25:00 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 944033111
LANBIDE - Bilbao Txurdínaga;;Julián Gaiarre, 8 - Trasera;48004;Bilbao;43.2503649648174, -2.90285253351768;2016-02-10 08:25:17 UTC;945160600;http://www.lanbide.euskadi.eus;fax: 944033114
EH Bildu;EH Bildu;Becerro de Bengoa;01005;Vitoria-Gasteiz;42.8453171652878, -2.6750408250048;2016-10-25 15:33:22 UTC;945004116;http://www.legebiltzarra.eus;fax: 945136126
Comisión Jurídica Asesora de Euskadi (COJUA);Aholku batzorde Juridikoa;Donostia-San Sebastian, 1 -  LAKUA;01010;Vitoria-Gasteiz;42.8588326989249, -2.68725849191375;2016-11-28 17:38:39 UTC;945019558/ 945019559;http://www.comisionjuridica.euskadi.net;fax: 945018703;funciones: http://www.bopv.euskadi.net/cgi-bin_k54/bopv_20?c&f=20060921&a=200604706
"Centro Vasco del Comahue ""Zazpirak Bat""";;Fernández Oro, 400 - C.C.363;8324;Cipolletti;, ;2011-12-01 14:16:26 UTC;2994424550;"";fax: 2994772910
Centro Vasco Euskalduna;;Bransen, 15;6530;Ciudad Casares;, ;2011-12-13 13:31:30 UTC;239545450;"";fax: 2395451112
Comisión Interdepartamental del Plan de Paz y Convivencia 2013-2016;2013-2016 Bake eta Bizikidetza Planaren sailarteko batzordea;"";"";;, ;2014-12-10 09:51:13 UTC;"";http://www.lehendakaritza.ejgv.euskadi.net/r48-rplancoo/es/contenidos/plan_programa_proyecto/xleg_plangub_01/es_plang_01/plang_01.html
Centro Vasco Loreta'ko Euskaldunak;;Avda. San Martín, 242;7200;Las Flores;-36.010972, -59.1046325;2011-12-14 15:19:08 UTC;"";""
Deusto Innovación Social - Campus Bilbao;Deusto Gizarte Berrikuntzako - Bilboko Campusa;Universidades, 24 - Avda. de las;48007;Bilbao;43.2704909194495, -2.93750940312071;2014-02-11 08:50:18 UTC;944139096;http://www.innovacionsocial.deusto.es
Deusto Psych I+D+I en Psicología y Salud;;Universidades, 24 - Avda. de las;48007;Bilbao;43.2704909194495, -2.93750940312071;2014-02-11 15:46:10 UTC;944139085;http://www.psicologiayeducacion@deusto.es
Deusto Business School - Campus San Sebastián;;Mundaiz, 50;20012;Donostia-San Sebastián;43.3094268602792, -1.9763748883714;2012-04-17 07:42:01 UTC;943326460;http://www.dbs.deusto.es
Instituto Vasco de Competitividad-Orkestra - Campus San Sebastián;;Mundaiz, 50;20012;Donostia-San Sebastián;43.3094268602792, -1.9763748883714;2012-04-17 08:14:50 UTC;943297327;http://www.orkestra.deusto.es;fax: 943279323
Consejo Rector de la Agencia Vasca de Cooperacion al Desarrollo;Garapen Lankideratzarako Euskal Agentziaren Errektore Kontseilua;"";"";;, ;2014-12-10 09:55:24 UTC;"";http://www.elankidetza.euskadi.net/x63-convasco/eu/contenidos/informacion/consejo_vasco_cooperacion/eu_convasco/convasco.html;funciones: http://www.lehendakaritza.ejgv.euskadi.net/r48-bopv2/es/bopv2/datos/2008/07/0804175a.pdf
Asociación de la Prensa Deportiva de Álava;Arabako Kirol Prentsa Elkartea;Casa del Deporte - Cercas Bajas, 5 -  bajo;01001;Vitoria-Gasteiz;42.8485387, -2.6722992;2011-09-21 21:06:58 UTC;"";http://www.aepde.org/asociacion-prensa-deportiva-alava/
Txema Rodríguez Consultoría - Comunicación Estratégica;;Calle Rodríguez Arias, 23 - 4º - Departamento 3;48011;Bilbao;43.2621263, -2.93636770000001;2015-01-12 11:34:12 UTC;944440114/ 606410355;""
Instituto de Estudios de Ocio-Universidad de Deusto;;Avenida de las Universidades, 24;48007;Bilbao;43.2704909194495, -2.93750940312071;2014-02-11 18:48:43 UTC;944139075;http://www.ocio.deusto.es;fax: 944467909
Publicaciones-Universidad de Deusto;;Avda. de las Universidades, 24;48007;Bilbao;43.2704909194495, -2.93750940312071;2014-02-11 19:35:50 UTC;944139162;http://www.deusto-publicaciones.es;fax: 944456817
Redefine keys;;"";"";;43.1516951532406, -2.60847241962932;2013-04-08 07:58:09 UTC;658708706;http://www.redefinekeys.com
Euskaltzaindia - Delegación de Álava;Euskaltzaindia - arabako ordezkaria;Pedro Asua, 2 - 2;01008;Vitoria-Gasteiz;42.8508087235216, -2.68885353886166;2014-02-12 17:33:05 UTC;945233648;http://www.euskaltzaindia.net
Ezkerraldeko KZ;Ezkerraldeko KZ;Zabálburu, 2 - bis, solairuartea eskubia;48010;Bilbao;43.2575992532776, -2.93405880712513;2012-12-14 09:24:47 UTC;944213031;http://www.leizaola.org
Comité Científico Asesor;Aholkularitza Batzorde Zientifikoa;"";"";;, ;2014-12-10 09:17:24 UTC;"";"";funciones: http://www.lehendakaritza.ejgv.euskadi.net/r48-bopv2/es/p43aBOPVWebWar/VerParalelo.do?cd2014001850
Gazteon KZ;Gazteon KZ;Zabálburu, 2 - bis, solairuartea eskubia;48010;Bilbao;43.2575992532776, -2.93405880712513;2012-12-14 09:26:47 UTC;944213031;http://www.gazteonkz.eu
Consejo Consultivo del Plan de Paz y Convivencia;Bake eta Bizikidetza Planaren Aholku Batzordea;"";"";;, ;2014-12-10 09:24:41 UTC;"";http://www.lehendakaritza.ejgv.euskadi.net/r48-subpaz/es/;funciones: http://www.lehendakaritza.ejgv.euskadi.net/r48-bopv2/es/p43aBOPVWebWar/VerParalelo.do?cd2014003440
Comisión Interdepartamental para la Igualdad de Mujeres y Hombres;Emakumeen eta Gizonen Berdintasunerako Sailarteko Batzordea;"";"";;, ;2014-12-10 09:39:46 UTC;"";http://www.emakunde.euskadi.net/u72-20010/es/contenidos/informacion/org_adscritos/es_def/index.shtml#A02;funciones: http://www.jusap.ejgv.euskadi.net/r47-bopvvaci/es/bopv2/datos/2007/01/0700285a.pdf
Gabineteseis;;Manuel Iradier, 7 - 3º - Of. 8;01005;Vitoria-Gasteiz;, ;2015-01-14 07:43:28 UTC;945771342;http://www.gabineteseis.es
Comisión Interinstitucional para la Igualdad de Mujeres y Hombres;Emakumeen eta Gizonen Berdintasunerako Erakunde arteko Batzordea;"";"";;, ;2014-12-19 11:26:54 UTC;"";http://www.emakunde.euskadi.net/u72-20010/es/contenidos/informacion/org_adscritos/es_def/index.shtml#A02;funciones: http://www.jusap.ejgv.euskadi.net/r47-bopvvaci/es/bopv2/datos/2007/02/0700654a.pdf
Comisión Asesora de Publicidad no Sexista-BEGIRA;BEGIRA-Berdintasuna Garatzeko Iragarkien Aholkularitza;"";"";;, ;2014-12-19 12:11:28 UTC;"";http://www.emakunde.euskadi.net/u72-20010/es/contenidos/informacion/org_adscritos/es_def/index.shtml#A04;funciones: http://www.lehendakaritza.ejgv.euskadi.net/r48-bopv2/es/p43aBOPVWebWar/VerParalelo.do?cd2013003087
Comisión de Seguimiento del Acuerdo interinstitucional para la mejora en la atención a mujeres víctimas de maltrato doméstico y agresiones sexuales;Etxeko tratu txar eta sexu erasoen biktima diren emakumeei eskaintzen zaien laguntza hobetzeko Erakundeen arteko Akordioaren Jarraipen Batzordea;"";"";;, ;2014-12-19 12:13:26 UTC;"";http://www.emakunde.euskadi.net/u72-20010/es/contenidos/informacion/org_adscritos/es_def/index.shtml#A06;funciones: http://www.emakunde.euskadi.net/u72-preven/es/contenidos/informacion/viol_coordinacion/es_emakunde/coordinacion_es.html
Cactus;;"";48002;Bilbao;, ;2015-01-14 07:28:57 UTC;667037550;http://www.revistacactus.com;twitter: http://twitter.com/twitter.com/revistacactus;facebook: http://facebook.com/revistacactus
GJ Creative;;Alameda de Recalde, 1;"";Bilbao;43.267709, -2.932743;2015-01-15 07:58:42 UTC;"";""
La Fundación San Prudencio;San Prudencio Fundazioak;Adriano VI, 20 - 8;01008;Vitoria-Gasteiz;, ;2015-01-21 08:01:14 UTC;945222900;http://www.lafundacion.com
Cineclub FAS;Fas Zinekluba;San Nicolás de Olabeaga, 33;48013;Bilbao;, ;2015-03-09 08:11:22 UTC;944425344;http://www.cineclubfas.com;facebook: http://https://www.facebook.com/pages/Cineclub-Fas/349413098581254?fref=ts;twitter: http://twitter.com/https://twitter.com/cineclubfas
Basque Society - Euskal Elkartea;;Oxford House-Derbyshire St., Bethnal Green;E2 6HG;Londres;51.5263889, -0.0612216;2011-11-22 11:04:10 UTC;2077290435;http://www.zintzilik.org;fax: 2077290435
Centro Vasco Argentino Gure Txokoa;;Av. Colón , 1368;X5000EQN;Córdoba;-31.40817, -64.2019535;2011-11-30 12:10:40 UTC;3514265695;http://www.centrovascocordoba.com.ar;fax: 3514265695
Deusto Innovación Social - Campus San Sebastián;Deusto Gizarte Berrikuntzako - Donostiako Campusa;Mundaiz, 50 - Edificio Francisco Gárate - Innogune;20012;Donostia-San Sebastián;43.3094268602792, -1.9763748883714;2014-02-11 08:49:30 UTC;943326000;http://www.innovacionsocial.deusto.es
Delegación Territorial de Salud de Bizkaia;Bizkaiko Osasun Lurralde Ordezkaritza;Alameda Recalde, 39 -  A;48008;Bilbao;43.2607015873, -2.93576059956;2014-08-25 10:44:08 UTC;944031500;http://www.osasun.ejgv.euskadi.net;fax: 944031783
Bolsa de Bilbao;Bilboko Balore Azoka;José María Olabarri, 1;48001;Bilbao;43.2637606, -2.9269593;2011-09-21 21:06:58 UTC;944034400;http://www.bolsabilbao.es;fax: 94 403 44 30
RENFE;RENFE;Plaza Circular, 2 -  4º;48008;Bilbao;43.2611942, -2.9273569;2011-09-21 21:06:58 UTC;902320320;http://www.renfe.com
"Centro Basko ""Etxe Alaia""";;Chile, 540;6450;Pehuajó;-32.9461924, -68.8235883;2011-11-22 14:09:03 UTC;02396479685;""
Colegio Territorial de Administradores de Fincas de Bizkaia;Bizkaiko Soro Administratzaileen Lurralde Kolegioa;Ledesma, 10 -   bis - 2º Dcha.;48001;Bilbao;43.2620255997149, -2.9275621464569;2012-03-20 11:01:03 UTC;944246124;http://www.administradoresfincas.biz;fax: 944354558
Colegio de Gestores Administrativos del País Vasco. Delegación en Gipuzkoa;Euskalherriko Arduralaritza Arartekoen Elkargoa. Gipuzkoako Ordezkaritza;Usurbil, 3 -  Trasera  Oficinas (entrada por Pº Errotaburu 10);20018;Donostia-San Sebastián;43.3008515032968, -2.00480461524247;2013-03-04 13:38:51 UTC;943316096;http://www.gestores.net;fax: 943316028
Escuela Superior de Hostelería Artxanda-Bilbao;Artxanda-Bilbao Goi Ostalaritza Eskola;Carretera Enekuri-Artxanda, Km. 3;48015;Bilbao;43.2797611, -2.9445449;2014-02-11 16:37:42 UTC;944745110;http://www.escuelahosteleria.com;fax: 944745201
Comisión Ambiental del País Vasco;Euskal Autonomia Erkidegoko Ingurumen Batzordea;"";"";;40.463667, -3.74922;2013-10-21 10:48:20 UTC;"";"";funciones: http://www.bopv.euskadi.net/cgi-bin_k54/bopv_20?c&f=20000503&a=200001872;funciones: http://www.bopv.euskadi.net/cgi-bin_k54/bopv_20?c&f=20020419&a=200202319
Colegio Vasco de Economistas;Ekonomilarien Euskal Elkargoa;Rodríguez Arias, 4 -  2º Izda.;48008;Bilbao;43.2617224338, -2.93401203962;2011-09-21 21:06:58 UTC;944152644944152633;http://www.ekonomista.org;fax: 94 - 415 89 87
Comunicamelo;Comunicamelo;Miracruz, 16 - 3º Centro;20001;San Sebastián;, ;2015-08-18 09:16:18 UTC;609491422;http://www.comunicamelo.com
375estudio;375estudio;Camino de Portuetxe, 51 - 2º of. 204;20018;Donostia-San Sebastián;43.30114930412, -2.01614117265207;2014-03-20 08:51:20 UTC;943104704;http://www.375estudio.com;facebook: http://www.facebook.com/375estudio
GTcreaciones;GTcreaciones;Kalamua, 9;48930;Getxo;43.3269230067019, -3.00847211674904;2012-12-14 08:56:27 UTC;"";http://www.gtcreaciones.com
Nexus Creativos;Nexus Creativos;José Erbina, 11 bajo;01005;Vitoria-Gasteiz;42.8413502788, -2.66935055467;2014-03-21 18:02:09 UTC;945130156/ 606035382;http://www.nexuspublicidad.es
"Centro Vasco ""Hiru Erreka""";;Sarmiento , 375/387;B7500GJG;Tres Arroyos;-38.3789508, -60.2712996;2011-11-24 11:46:14 UTC;2983421121;http://www.hiruerreka.com.ar
"Centro Vasco ""Ongi Etorri""";;Rivadavia, 925;1913;Magdalena;-34.9197768, -58.3462465;2011-11-29 14:50:36 UTC;2221453057;""
"Centro Vasco ""Villegas'ko Euskaldunak""";;Fasciolo Enrique, 51;6230;General Villegas;, ;2011-11-29 14:58:47 UTC;3388421632;""
"Centro Vasco ""Zelaiko Euskal Etxea""";;C.C.449 - Joaquín Ferro, 1033;L63002BES;Santa Rosa;, ;2011-11-29 15:17:25 UTC;2954561043;""
Centro Vasco de Flores - Floresko Euskal Etxea;;Presidente Berro, 615;8500;Trinidad;-33.5186678, -56.8987409;2011-11-30 14:21:17 UTC;43643843;"";fax: 43643843
Centro Vasco Francés;;Moreno, 1370;1091;Buenos Aires;-34.6122469, -58.3857496;2011-12-14 08:27:30 UTC;1143835831;http://iparraldeeuskaletxea.blogspot.com;fax: 1143835831
Centro Vasco Venezolano de Carabobo;;Las Flores - Barrio Coromoto, La Entrada;2002;Valencia (Naguanagua);, ;2011-12-19 11:12:05 UTC;2419131460;http://www.valenciakoeuskoetxea.com;fax: 2419131642
I Love You... Agencia de Ideas.;I Love You...Sormen Agentzia;Calzada de Eguia, 9 - trasera;20012;Donostia / San Sebastián;43.3027433382727, -1.98877128258449;2014-03-21 16:01:02 UTC;648651755/ 943326751;http://www.iloveyougroup.com
Viceconsejería de Régimen Jurídico;Araubide Juridikoaren Sailburuordetza;Donostia-San Sebastián, 1 - Lakua;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2013-04-23 09:41:09 UTC;"";"";funciones: http://www.lehendakaritza.ejgv.euskadi.net/r48-bopv2/es/p43aBOPVWebWar/VerParalelo.do?cd2013001819
Juan Sanchiz Creativos, S.L.;Juan Sanchiz Creativos, S.L.;Paseo de la Florida, 3 -  Dpto. 14;01005;Vitoria-Gasteiz;42.844895273, -2.67465165143;2014-03-21 16:31:02 UTC;945231999;http://www.juansanchiz.com
Centro Eusko-Etxea;;Rivadavia, 451 - Oeste;5400;San Juan;-31.5370525, -68.5326306;2011-11-22 13:06:57 UTC;644222182;""
Centro Euskaro;;Profesor Carlos Bacigalupi, 2219 - entre Hocquart y Madrid;11800;Montevideo;-34.8923728, -56.1826894;2011-11-23 10:37:42 UTC;59829245386;""
"Centro Vasco ""Gure Eusko Tokia""";;Independencia, 2543;1744;Moreno;-34.6478635, -58.7854371;2011-11-24 11:17:34 UTC;2374621822;"";fax: 23474633641
Centro Vasco de Suipacha Gure Txokoa;;San Martin, 291;6612;Suipacha;-34.577961, -58.5567169;2011-12-01 09:53:21 UTC;2324480171;""
Centro Vasco Euskal Odola de Ayacucho;;Sarmiento, 729;7150;Ayacucho;-34.6451509, -58.5873562;2011-12-02 12:33:53 UTC;2296453209;""
Ekonomiaren KZ;Ekonomiaren KZ;Zabálburu, 2 - bis, solairuartea eskubia;48010;Bilbao;43.2575992532776, -2.93405880712513;2012-12-14 09:23:14 UTC;944213031;http://ekonomiarenkz.eu
Instituto de Derechos Humanos Pedro Arrupe - Unversidad de Deusto;;Universidades, 24 - Avda. de las;48007;Bilbao;43.2704909194495, -2.93750940312071;2012-04-17 10:02:09 UTC;944139102;http://www.idh.deusto.es;fax: 944139282
Rescom, Comunicación Responsable;;Orixe, 22 - Bajo;48015;Bilbao;43.280772, -2.959207;2015-03-17 11:09:06 UTC;946059529;http://www.rescom.es
Departamento de Educación;Hezkuntza Saila;Donostia-San Sebastián, 1;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-11-28 11:20:40 UTC;"";""
Kontsumobide. Servicio Territorial de Álava;Kontsumobide. Arabako lurralde-zerbitzua;Santiago, 11;01002;Vitoria-Gasteiz;42.8472889907373, -2.66634275604274;2016-11-28 16:19:27 UTC;945062161;http://www.kontsumobide.eus;fax: 945062142
Kontsumobide. Centro de Formación en Consumo de Bilbao;Kontsumobide. Kontsumoko Bilboko Prestakuntza Zentroa;Nicolas Alcorta, 2 - 1º;48003;Bilbao;43.2564776800612, -2.93402872809978;2016-11-29 10:07:23 UTC;944032220;http://www.kontsumobide.eus;fax: 944032221
Kontsumobide. Centro de formación en Consumo de Donostia-San Sebastián;Kontsumobide. Kontsumoko Donostiako prestakuntza-zentroa;Paseo Zarategi, 82-84 bis;20015;Donostia-San Sebastián;43.3152889, -1.9514657;2016-11-29 10:08:10 UTC;943022590;http://www.kontsumobide.eus;fax: 943022592
C+V Creativos;C+V Creativos;Máximo Aguirre, 11 Bis - 7º C;48011;Bilbao;, ;2015-04-09 07:21:59 UTC;944163795;""
Bordeleko Euskal Etxea;;7, Rue du Palais de l'Ombriere;33000;Burdeos;44.8383792, -0.5699506;2013-08-14 10:48:09 UTC;556526264;http://www.eskualetxea.org
AZTI - Tecnalia;AZTI - Tecnalia;Txatxarramendi;48395;Sukarrieta;43.3944542985255, -2.69211806647678;2014-04-07 15:58:21 UTC;946574000;http://www.azti.es/;fax: 946572555
UniqueBrand.es;Cea;C/ Arzubia N10-A Planta 1 P13, 10A  - Planta 1 Puerta 13;48220;Abadiano;43.168565, -2.614288;2015-05-04 11:58:26 UTC;946030200;""
Agencia Vasca de Protección de Datos;Datuak Babesteko Euskal Bulegoa;Beato Tomás de Zumárraga, 71-3;01008;Vitoria-Gasteiz;42.851631, -2.691694;2015-05-18 10:38:40 UTC;945016230;http://www.avpd.es;fax: 945016231
AGS&B marketing ● comunicación;AGS&B marketin ● komunikazioa;Calle Dr. Luis Bilbao Líbano, 4;48940;Leioa;, ;2015-07-06 06:13:01 UTC;629442572;http://www.agsb.es
InterMedia Comunicación;;Ercilla, 6 - 2º-izda.;48009;Bilbao;, ;2015-07-30 11:30:57 UTC;"";http://www.intermedia.eus
Cenarrusa Center for Basque Studies, Inc.;;611, Grove Street;83702;Boise;43.6137093, -116.2020291;2011-11-22 12:51:58 UTC;"";http://www.cenarrusa.org
"Centro Basko ""Euzko Etxea""";;Calle 14, 1245 - esq.58;1900;La Plata;-34.9257636, -57.9510579;2011-11-22 14:18:57 UTC;02214571638;http://www.centrovasco.com;fax: 022146571638
Centro Basko Lagun Onak;;9 de Julio, 835;B2700KUQ;Pergamino;-33.895996, -60.5759072;2011-11-23 09:57:22 UTC;2477416918;"";fax: 2477414189
Instituto Vasco de Finanzas;Euskal Finantza Erakundea;Donostia-San Sebastián, 1 -  LAKUA ;01010;Vitoria-Gasteiz;42.8588327148197, -2.68725856704953;2015-10-14 09:07:22 UTC;945019113;""
"Centro Vasco ""Euskal Erria""";;San José, 1168;11100;Montevideo;-34.9068796, -56.1912717;2011-11-23 15:06:59 UTC;29087977;"";fax: 29087977
Centro Vasco Balcarce'ko Euskaldunak;;C/ 17, 733;7620;Balcarce;-37.9690188, -57.5935321;2011-11-30 13:48:34 UTC;2266431678;"";fax: 2266431678
Centro Vasco del Noreste del Chubut;;Avda. Gales, 483;9100;Trelew;-43.2513042, -65.3147608;2011-12-01 14:35:54 UTC;2965434395;""
Centro Vasco Ibaiko Euskaldunak;;Roca, 151;8138;Río Colorado;-38.9493675, -68.0309601;2011-12-14 08:43:46 UTC;"";""
Centro Vasco Itxaropena de Saladillo;;José Ingenieros, 3518;7260;Saladillo;-34.655592, -58.5243474;2011-12-14 14:31:11 UTC;234515412824;""
Viceconsejería de Relaciones Institucionales;Erakunde Harremanetarako Sailburuordetza;Donostia-San Sebastián, 1;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-12-05 11:36:28 UTC;"";""
Viceconsejería de Economía y Presupuestos ;Ekonomia eta Aurrekontu Sailburuordetza;Donostia-San Sebastián, 1 - LAKUA;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-12-07 12:17:54 UTC;"";""
Viceconsejería de Administración y Servicios;Administrazio eta Zerbitzuen Sailburuordetza;Donostia-San Sebastián, 1 - LAKUA;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-12-07 13:01:39 UTC;"";""
Viceconsejería de Industria ;Industria Sailburuordetza;Donostia-San Sebastián, 1;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-12-07 13:02:41 UTC;"";""
Viceconsejería de Educación;Hezkuntza Sailburuordetza;Donostia-San Sebastián, 1 - LAKUA;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-12-09 07:46:17 UTC;"";""
Departamento de Seguridad;Segurtasun Saila;Donostia-San Sebastián, 1 - Lakua;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-12-09 08:17:59 UTC;"";""
Centro Vasco Zazpirak Bat;;Entre Ríos, 261;2000;Rosario;-32.9396894, -60.6394473;2011-12-19 11:57:56 UTC;3414217670;http://www.zazpirakbat.com;fax: 3414217670
IVAP / HAEE - Sede de Donostia-San Sebastián;IVAP-HAEE - Donostiako egoitza;San Bartalomé, 28;01010;Donostia-San Sebastián;43.315299, -1.9859339;2012-02-14 09:23:29 UTC;943428306;"";fax: 943425903
Economía Alavesa;Economía Alavesa;Dato, 38 -  1º;01005;Vitoria-Gasteiz;42.8424528835, -2.67268837519;2011-09-21 21:06:58 UTC;945141800;http://www.camaradealava.com;fax: 945143156
Viceconsejería de Comercio y Turismo;Merkataritza eta Turismo Sailburuordetza;Donostia-San Sebastián, 1;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-11-28 16:15:42 UTC;"";""
Viceconsejería de Justicia;Justizia Sailburuordetza;Donostia-San Sebastián, 1;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-11-28 17:17:39 UTC;"";""
EMAKUNDE - Instituto Vasco de la Mujer;EMAKUNDE - Emakumearen Euskal Erakundea;Manuel Iradier, 36;01005;Vitoria-Gasteiz;42.8420320652971, -2.67127999850227;2016-11-28 17:40:42 UTC;945016700;http://www.emakunde.euskadi.net;fax: 945016701;twitter: http://twitter.com/emakundEJGV;facebook: http://www.facebook.com/Emakunde;fax: 945016720;funciones: http://www.lehendakaritza.ejgv.euskadi.net/r48-bopv2/es/p43aBOPVWebWar/VerParalelo.do?cd2013001818;funciones: http://www.emakunde.euskadi.net/u72-20010/es/contenidos/informacion/u72_funciones/es_funcion/funciones_es.html
Viceconsejería de Empleo y Trabajo;Enplegu eta Lan sailburuordetza;Donostia-San Sebastián, 1 - Lakua;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-11-29 11:05:07 UTC;"";""
Comisión de valoración y selección de documentación;Dokumentuak Balioesteko eta Aukeratzeko Batzordea;Donostia-San Sebastián, 1 - LAKUA;01010;Vitoria-Gasteiz;42.8588327148197, -2.68725856704953;2013-03-15 10:56:01 UTC;945019461;""
Esan Traducciones y Transcripciones, S.L.;Esan Traducciones y Transcripciones, S.L.;Postas, 18 -  3º Ofic. 6;01001;Vitoria-Gasteiz;42.8459821387, -2.67280889725;2011-09-21 21:06:58 UTC;945148718;http://www.esantradu.com;fax: 945 - 14 51 32
Fundación Sancho el Sabio;Sancho el Sabio Fundazioa;Portal de Betoño, 23;01013;Vitoria-Gasteiz;42.8615518965461, -2.65749087806939;2011-09-07 17:22:14 UTC;945253932;http://www.fsancho-sabio.es;fax: 945250219;twitter: http://twitter.com/#!/SANCHOELSABIO
"Archivo Municipal ""Pilar Aróstegui"" de Vitoria-Gasteiz";"Vitoria-Gasteizko Udal Artxiboa ""Pilar Arostegui""";Paseo de la Universidad, 1;01006;Vitoria-Gasteiz;42.840300799857, -2.66914908837266;2012-02-08 12:29:41 UTC;945161492;http://www.vitoria-gasteiz.org/ http://www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&idioma=es&tabla=contenido&uid=b5d0189_11936935db4__7fe8;fax: 945161507
Subdirección de la Inspección de Trabajo;Lan Ikuskaritzaren Zuzendariordetza;Donostia-San Sebastián, 1;01010;Vitoria-Gasteiz;43.1306466, -2.4248953;2013-01-15 15:04:54 UTC;945019320;http://www.gizarkelan.ejgv.euskadi.net
Centro Vasco de Transfusión y Tejidos Humanos;Transfusioen eta Giza Ehunen Euskal Autonomia Erkidegoko zentroa;Barrio Labeaga, s/n;48960;Galdakao;43.226982, -2.8277963;2013-10-30 11:52:57 UTC;944007241;"";fax: 944007163
Consejo Asesor de Patrimonio Documental y Archivos de Euskadi;Dokumentu Ondarearen eta Artxiboen Aholkularitza Kontseilua;Donostia-San Sebastián, 1 - LAKUA;01010;Vitoria-Gasteiz;42.8588327148197, -2.68725856704953;2013-03-15 10:52:53 UTC;945019461;""
